,Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad,Yıl,Hafta
185,2023-01-07,GECE,A0007,8.92,3.57,Soket,DENIZ MAHSULLERİ,2023,1
186,2023-01-06,GECE,A0001,11.75,4.41,Soket,POLKA DOTA ANKLE BLUE,2023,1
187,2023-02-05,GECE,A0011,20.5,3.51,Babet,2023-3,2023,5
188,2023-02-17,GÜNDÜZ,A0029,7.92,2.9,Soket,PUNALI SOKET,2023,7
189,2023-01-23,GÜNDÜZ,A0020,12.0,3.35,Patik,CODE 3P.XX SHORT,2023,4
190,2023-01-15,GÜNDÜZ,A0020,19.92,7.07,Soket,RIB ANKLE PURPLE,2023,2
191,2023-01-05,GÜNDÜZ,A0035,7.67,3.11,Soket,TEK ARI,2023,1
192,2023-02-14,GECE,A0016,15.75,4.95,Patik,CODE 3P.XX SHORT,2023,7
193,2023-01-06,GECE,A0032,7.08,2.79,Soket,DALSIZ PAPTYA,2023,1
194,2023-01-20,GÜNDÜZ,A0021,10.58,2.7,Patik,CODE 3P.XX SHORT,2023,3
195,2023-01-24,GÜNDÜZ,A0027,11.25,3.06,Patik,CODE 3P.XX SHORT,2023,4
196,2023-02-17,GÜNDÜZ,A0013,9.75,3.12,Patik,CODE 3P.XX SHORT,2023,7
197,2023-02-20,GECE,A0026,9.0,0.0,Patik,KOPEK PATİK,2023,8
198,2023-01-27,GÜNDÜZ,A0020,8.92,2.48,Patik,CODE 3P.XX SHORT,2023,4
199,2023-01-02,GÜNDÜZ,A0006,10.0,0.0,Patik,CARERA PATİK,2023,1
200,2023-01-29,GECE,A0012,26.0,8.11,Patik,CODE 3P.XX SHORT,2023,4
201,2023-01-08,GÜNDÜZ,A0009,6.33,2.31,Soket,POLKA DOTA ANKLE BLUE,2023,1
202,2023-02-08,GÜNDÜZ,A0033,9.25,1.6,Babet,KÜÇÜK YILDIZ BABET,2023,6
203,2023-02-16,GECE,A0007,13.25,2.22,Babet,2023-3,2023,7
204,2023-02-07,GECE,A0006,13.0,0.0,Patik,CARERA PATİK,2023,6
205,2023-01-29,GECE,A0036,16.0,8.98,Soket,SÜPERCITY TENIS,2023,4
206,2023-02-22,GECE,A0033,12.0,0.0,Havlu Dizaltı,DERBILI HAVLU DİZALTI,2023,8
207,2023-02-02,GÜNDÜZ,A0027,5.17,1.6,Kısa Konç,KISAKONC,2023,5
208,2023-01-06,GECE,A0036,14.0,4.86,Soket,2023-1,2023,1
209,2023-01-15,GÜNDÜZ,A0031,17.17,3.02,Babet,3PK LOW CUT NO SHOW SOCKS,2023,2
210,2023-01-10,GECE,A0007,8.08,3.19,Soket,DENIZ MAHSULLERİ,2023,2
211,2023-02-02,GÜNDÜZ,A0016,10.0,3.5,Kısa Konç,KISAKONC,2023,5
212,2023-01-25,GÜNDÜZ,A0032,2.25,1.51,Havlu,HAVLU TENIS,2023,4
213,2023-01-31,GÜNDÜZ,A0028,10.92,3.42,Kısa Konç,KISAKONC,2023,5
214,2023-01-27,GECE,A0021,16.5,5.01,Kısa Konç,KISAKONC,2023,4
215,2023-01-18,GECE,A0009,17.33,4.23,Patik,CODE 3P.XX SHORT,2023,3
216,2023-01-30,GECE,A0026,13.0,0.0,Patik,BAYAN KÜÇÜK NOKTA,2023,5
217,2023-01-09,GÜNDÜZ,A0025,8.0,3.13,Soket,TEK ARI,2023,2
218,2023-01-30,GÜNDÜZ,A0014,9.33,3.29,Kısa Konç,KISAKONC,2023,5
219,2023-01-30,GÜNDÜZ,A0023,12.92,2.39,Patik,2023-2,2023,5
220,2023-02-03,GÜNDÜZ,A0018,6.0,0.0,Patik,KARE SIMLI PATİK,2023,5
221,2023-02-01,GÜNDÜZ,A0008,8.75,1.62,Babet,KAMUFLAJ  BABET,2023,5
222,2023-02-16,GÜNDÜZ,A0003,5.75,1.53,Patik,CODE 3P.XX SHORT,2023,7
223,2023-02-08,GECE,A0026,17.0,0.0,Patik,KARE SIMLI PATİK,2023,6
