Tarih,Çalışma Grubu,İstasyon Adı,Model Ad,Sağlam(dz),Miktar (kg.),Ürün Grubu
 20.Feb.2023,GECE,A0017,KOPEK PATİK,19.00,0.000,BAYAN PATİK
 20.Feb.2023,GÜNDÜZ,A0010,CODE 3P.XX SHORT,12.08,2.970,PATİK
 20.Feb.2023,GÜNDÜZ,A0006,TAM HAVLU KISA SOKET,3.00,0.000,BAYAN ERKEK KISAKONC HAVLU
 20.Feb.2023,GÜNDÜZ,A0016,CODE 3P.XX SHORT,10.42,3.310,PATİK
 20.Feb.2023,GECE,A0022,CEMBERLI YILDIZLI PATİK,10.42,2.840,BAYAN SOKET
 20.Feb.2023,GECE,A0021,KDK CEMBER,29.42,5.740,BAYAN PATİK
 20.Feb.2023,GÜNDÜZ,A0018,SİM CEMBER PATİK,8.00,0.000,BAYAN PATİK
 20.Feb.2023,GÜNDÜZ,A0034,CARERA PATİK,18.00,0.000,ERKEK PATİK
 20.Feb.2023,GÜNDÜZ,A0020,CEMBERLI SOKET,7.83,2.710,BAYAN SOKET
 20.Feb.2023,GECE,A0021,KDK CEMBER,16.83,3.170,BAYAN PATİK
 20.Feb.2023,GÜNDÜZ,A0007,2023-3,10.42,1.710,BAYAN BAMBU BABET
 20.Feb.2023,GECE,A0013,CODE 3P.XX SHORT,15.08,4.700,PATİK
 20.Feb.2023,GECE,A0030,KALPLI SOKET,19.67,7.700,BAYAN SOKET
 20.Feb.2023,GECE,A0024,2023-3,22.33,4.000,BAYAN BAMBU BABET
 20.Feb.2023,GÜNDÜZ,A0002,KALPLI SOKET,5.83,2.050,BAYAN SOKET
 20.Feb.2023,GECE,A0033,2023-3,24.17,3.960,BAYAN BAMBU BABET
 20.Feb.2023,GÜNDÜZ,A0030,KALPLI SOKET,2.17,0.000,BAYAN SOKET
 20.Feb.2023,GÜNDÜZ,A0025,TAM HAVLU KISA SOKET,2.00,0.000,BAYAN ERKEK KISAKONC HAVLU
 20.Feb.2023,GECE,A0022,KAMUFLAJ PATIK,3.83,1.050,BAYAN PATİK
 20.Feb.2023,GECE,A0016,CODE 3P.XX SHORT,27.33,8.530,PATİK
 20.Feb.2023,GECE,A0029,PUNALI SOKET,8.33,3.230,BAYAN SOKET
 20.Feb.2023,GECE,A0001,KALPLI SOKET,11.67,3.880,BAYAN SOKET
 20.Feb.2023,GECE,A0001,KALPLI SOKET,20.58,7.300,BAYAN SOKET
 20.Feb.2023,GECE,A0005,3P-TENİS HAVLU,21.67,11.160,SOKET TENİS
 20.Feb.2023,GECE,A0015,CODE 3P.XX SHORT,23.33,7.490,PATİK
 20.Feb.2023,GÜNDÜZ,A0011,KALPLI   BABET,9.42,1.630,ÇETİK
 20.Feb.2023,GECE,A0024,2023-3,13.92,2.460,BAYAN BAMBU BABET
 20.Feb.2023,GÜNDÜZ,A0029,PUNALI SOKET,7.00,2.720,BAYAN SOKET
 20.Feb.2023,GÜNDÜZ,A0021,KDK CEMBER,11.92,2.240,BAYAN PATİK
 20.Feb.2023,GECE,A0033,DERBILI HAVLU DİZALTI,7.00,0.000,HAVLU DİZALTI
 20.Feb.2023,GECE,A0020,CEMBERLI SOKET,8.92,3.310,BAYAN SOKET
 20.Feb.2023,GÜNDÜZ,A0002,KALPLI SOKET,2.00,0.000,BAYAN SOKET
 20.Feb.2023,GECE,A0006,CARERA PATİK,22.00,0.000,ERKEK PATİK
 20.Feb.2023,GECE,A0019,CEMBERLI PATIK,2.50,0.000,BAYAN PATİK
 20.Feb.2023,GECE,A0003,CODE 3P.XX SHORT,27.67,7.560,PATİK
 20.Feb.2023,GÜNDÜZ,A0003,CODE 3P.XX SHORT,10.42,2.850,PATİK
 20.Feb.2023,GECE,A0012,CODE 3P.XX SHORT,29.42,9.010,PATİK
 20.Feb.2023,GECE,A0002,KALPLI SOKET,20.83,7.670,BAYAN SOKET
 20.Feb.2023,GÜNDÜZ,A0036,3P-TENİS HAVLU,8.42,4.450,SOKET TENİS
 20.Feb.2023,GECE,A0005,3P-TENİS HAVLU,12.50,6.650,SOKET TENİS
 20.Feb.2023,GECE,A0012,CODE 3P.XX SHORT,16.67,5.080,PATİK
 20.Feb.2023,GECE,A0017,KOPEK PATİK,15.00,0.000,BAYAN PATİK
 20.Feb.2023,GECE,A0034,CARERA PATİK,19.00,0.000,ERKEK PATİK
 20.Feb.2023,GECE,A0013,CODE 3P.XX SHORT,26.00,8.350,PATİK
 20.Feb.2023,GECE,A0010,CODE 3P.XX SHORT,17.67,4.340,PATİK
 20.Feb.2023,GECE,A0031,DERBILI HAVLU DİZALTI,8.00,0.000,HAVLU DİZALTI
