Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad
 29.Jan.2023,GECE,A0029,27.25,8.440,KISA KONÇ,KISAKONC
 26.Jan.2023,GÜNDÜZ,A0015,6.42,2.280,KISA KONÇ,KISAKONC
 08.Feb.2023,GECE,A0010,16.50,4.310,PATİK,CODE 3P.XX SHORT
 25.Jan.2023,GÜNDÜZ,A0029,11.17,3.030,PATİK,CODE 3P.XX SHORT
 10.Jan.2023,GÜNDÜZ,A0024,7.75,2.940,BAYAN SOKET,FLAMINGO SOKET
 06.Feb.2023,GECE,A0032,10.75,6.380,SOKET TENİS,3P-TENİS HAVLU
 12.Jan.2023,GECE,A0030,11.83,2.730,BAYAN SOKET,POLKA DOTA TRAINER BLUE
 22.Jan.2023,GECE,A0008,24.50,5.120,SNİCKERS,2023-2
 17.Feb.2023,GECE,A0035,15.83,4.910,PATİK,CODE 3P.XX SHORT
 12.Feb.2023,GECE,A0024,22.33,3.930,ÇETİK,DALMACYA  BABET
 02.Jan.2023,GÜNDÜZ,A0011,13.92,4.260,KISA KONÇ,BRK-2
 13.Feb.2023,GECE,A0018,18.00,0.000,BAYAN PATİK,DERBILI NOKTALI
 11.Jan.2023,GECE,A0023,15.33,5.430,BAYAN SOKET,2023-1
 24.Jan.2023,GECE,A0020,16.58,4.560,PATİK,CODE 3P.XX SHORT
 05.Jan.2023,GECE,A0024,12.42,4.700,BAYAN SOKET,FLAMINGO SOKET
 16.Feb.2023,GECE,A0011,12.33,2.120,ÇETİK,KALPLI   BABET
 02.Jan.2023,GECE,A0022,8.25,2.950,BAYAN SOKET,2023-1
 08.Feb.2023,GÜNDÜZ,A0008,8.75,1.560,ÇETİK,KAMUFLAJ  BABET
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 01.Feb.2023,GECE,A0012,16.00,4.890,PATİK,CODE 3P.XX SHORT
 31.Jan.2023,GECE,A0022,14.92,3.430,SNİCKERS,2023-2
 09.Feb.2023,GÜNDÜZ,A0001,7.17,2.570,BAYAN SOKET,KALPLI SOKET
 12.Jan.2023,GÜNDÜZ,A0013,8.17,3.210,BAYAN SOKET,EKRU ÇOK ARI
 17.Jan.2023,GÜNDÜZ,A0007,9.83,2.130,SNİCKERS,2023-2
 03.Jan.2023,GÜNDÜZ,A0027,8.83,2.820,BAYAN SOKET,MANTAR DESEN
 23.Jan.2023,GECE,A0001,14.83,4.330,KISA KONÇ,KISAKONC
 16.Feb.2023,GÜNDÜZ,A0026,12.00,0.000,BAYAN KISAKONC,DERBILI CEMBERLİ
 12.Jan.2023,GÜNDÜZ,A0032,7.33,2.850,BAYAN SOKET,DALSIZ PAPTYA
 02.Feb.2023,GECE,A0034,14.00,0.000,ERKEK PATİK,CARERA PATİK
 09.Feb.2023,GÜNDÜZ,A0014,11.08,3.350,PATİK,CODE 3P.XX SHORT
 18.Jan.2023,GÜNDÜZ,A0027,11.33,2.910,PATİK,CODE 3P.XX SHORT
 24.Jan.2023,GECE,A0031,13.67,2.420,BAYAN BAMBU BABET,2023-3
 09.Feb.2023,GECE,A0006,13.00,0.000,ERKEK PATİK,CARERA PATİK
 17.Jan.2023,GECE,A0029,17.33,4.170,PATİK,CODE 3P.XX SHORT
 09.Feb.2023,GÜNDÜZ,A0033,9.50,1.680,ÇETİK,KÜÇÜK YILDIZ BABET
 07.Feb.2023,GECE,A0022,12.25,2.690,SNİCKERS,2023-2
 02.Feb.2023,GECE,A0012,16.33,4.970,PATİK,CODE 3P.XX SHORT
 22.Feb.2023,GECE,A0009,15.67,3.390,BAYAN PATİK,KABARTMA EKOSE
 03.Feb.2023,GÜNDÜZ,A0014,6.92,2.470,KISA KONÇ,KISAKONC
 14.Feb.2023,GÜNDÜZ,A0029,7.83,2.900,BAYAN SOKET,PUNALI SOKET
 06.Jan.2023,GÜNDÜZ,A0017,11.00,0.000,BAYAN KISAKONC,TUBE CEMBERLI 
 09.Feb.2023,GECE,A0015,15.83,4.920,PATİK,CODE 3P.XX SHORT
 02.Feb.2023,GÜNDÜZ,A0030,10.58,3.360,KISA KONÇ,KISAKONC
 09.Feb.2023,GÜNDÜZ,A0018,14.00,0.000,BAYAN PATİK,DERBILI NOKTALI
 30.Jan.2023,GÜNDÜZ,A0007,11.17,2.350,SNİCKERS,2023-2
 19.Jan.2023,GÜNDÜZ,A0013,10.25,3.230,PATİK,CODE 3P.XX SHORT
 07.Jan.2023,GECE,A0012,30.67,9.030,KISA KONÇ,BRK-2
 29.Jan.2023,GECE,A0020,27.67,8.260,PATİK,CODE 3P.XX SHORT
 06.Jan.2023,GÜNDÜZ,A0006,11.00,0.000,ERKEK PATİK,CARERA PATİK
 20.Jan.2023,GECE,A0020,6.33,2.270,BAYAN SOKET,RIB ANKLE PURPLE
 02.Feb.2023,GECE,A0021,8.33,2.360,BAYAN PATİK,KISAKONC SİM ÇEMBER
 13.Jan.2023,GÜNDÜZ,A0029,7.08,1.710,PATİK,CODE 3P.XX SHORT
 09.Jan.2023,GÜNDÜZ,A0013,7.50,2.930,BAYAN SOKET,EKRU ÇOK ARI
 02.Feb.2023,GECE,A0002,7.33,2.830,BAYAN SOKET,COK ÇİÇEKLİ
 18.Jan.2023,GECE,A0023,7.00,2.450,BAYAN SOKET,2023-1
 17.Jan.2023,GÜNDÜZ,A0005,8.50,3.150,BAYAN SOKET,MAVI COKLU ARI
 17.Feb.2023,GÜNDÜZ,A0017,7.00,0.000,BAYAN PATİK,KOPEK PATİK
 27.Jan.2023,GECE,A0014,13.67,4.900,KISA KONÇ,KISAKONC
 16.Feb.2023,GÜNDÜZ,A0034,10.00,0.000,ERKEK PATİK,CARERA PATİK
 30.Jan.2023,GÜNDÜZ,A0018,14.00,0.000,BAYAN PATİK,BAYAN YILDIZ KABARTMA 
 15.Jan.2023,GÜNDÜZ,A0025,11.08,4.210,BAYAN SOKET,EKRU ÇOK ARI
 27.Jan.2023,GECE,A0002,12.42,4.150,BAYAN SOKET,ÇEMBERLI
 08.Jan.2023,GÜNDÜZ,A0024,18.33,7.150,BAYAN SOKET,FLAMINGO SOKET
 20.Feb.2023,GECE,A0034,14.00,0.000,ERKEK PATİK,CARERA PATİK
 06.Jan.2023,GECE,A0004,12.08,4.710,BAYAN SOKET,TEK  PAPTYA
 01.Feb.2023,GÜNDÜZ,A0005,9.17,4.550,SOKET TENİS,3P-TENİS HAVLU
 06.Feb.2023,GÜNDÜZ,A0002,11.58,3.080,PATİK,CODE 3P.XX SHORT
 16.Feb.2023,GECE,A0012,16.58,5.040,PATİK,CODE 3P.XX SHORT
 22.Feb.2023,GECE,A0012,0.17,5.090,PATİK,CODE 3P.XX SHORT
 03.Feb.2023,GECE,A0012,16.08,4.880,PATİK,CODE 3P.XX SHORT
 10.Jan.2023,GÜNDÜZ,A0030,8.50,2.970,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 14.Feb.2023,GECE,A0019,10.08,2.120,BAYAN PATİK,TEK NOKTA PATİK
 08.Feb.2023,GECE,A0009,17.00,3.590,BAYAN PATİK,D
 20.Jan.2023,GECE,A0010,17.00,4.390,PATİK,CODE 3P.XX SHORT
 01.Feb.2023,GECE,A0027,15.50,4.850,KISA KONÇ,KISAKONC
 17.Feb.2023,GÜNDÜZ,A0022,8.92,2.450,BAYAN SOKET,CEMBERLI YILDIZLI PATİK
 21.Feb.2023,GECE,A0036,11.08,7.250,SOKET TENİS,3P-TENİS HAVLU
 17.Jan.2023,GÜNDÜZ,A0027,1.92,0.630,BAYAN SOKET,MANTAR DESEN
 18.Jan.2023,GÜNDÜZ,A0007,9.67,2.050,SNİCKERS,2023-2
 02.Jan.2023,GECE,A0010,13.17,4.250,BAYAN SOKET,FOX  SAKES
 05.Jan.2023,GECE,A0031,3.25,0.560,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 08.Feb.2023,GECE,A0024,14.00,2.460,ÇETİK,DALMACYA  BABET
 18.Jan.2023,GÜNDÜZ,A0006,10.00,0.000,ERKEK PATİK,CARERA PATİK
 12.Jan.2023,GECE,A0028,12.50,3.980,BAYAN SOKET,MANTAR DESEN
 14.Feb.2023,GECE,A0031,13.92,2.390,ÇETİK,KARE  BABET
 06.Feb.2023,GÜNDÜZ,A0020,11.25,3.070,PATİK,CODE 3P.XX SHORT
 09.Feb.2023,GECE,A0034,14.00,0.000,ERKEK PATİK,CARERA PATİK
 13.Jan.2023,GÜNDÜZ,A0019,7.42,2.510,BAYAN SOKET,RIB ANKLE PURPLE
 15.Jan.2023,GÜNDÜZ,A0017,27.00,0.000,BAYAN KISAKONC,TUBE CEMBERLI 
 11.Jan.2023,GÜNDÜZ,A0001,7.33,2.710,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 08.Feb.2023,GÜNDÜZ,A0016,9.17,2.820,PATİK,CODE 3P.XX SHORT
 14.Feb.2023,GECE,A0009,2.67,0.580,BAYAN PATİK,TEK NOKTA PATİK
 12.Jan.2023,GECE,A0021,12.17,4.450,BAYAN SOKET,FLORAL ANKLE
 08.Jan.2023,GÜNDÜZ,A0025,3.33,1.270,BAYAN SOKET,FLAMINGO SOKET
 20.Jan.2023,GÜNDÜZ,A0012,6.42,2.650,BAYAN SOKET,BUYUK KALP
 31.Jan.2023,GÜNDÜZ,A0027,11.17,3.480,KISA KONÇ,KISAKONC
 15.Feb.2023,GECE,A0036,22.75,13.080,SOKET TENİS,3P-TENİS HAVLU
 02.Feb.2023,GÜNDÜZ,A0012,10.83,3.300,PATİK,CODE 3P.XX SHORT
 18.Jan.2023,GÜNDÜZ,A0035,7.75,3.080,BAYAN SOKET,TEK ARI
 21.Feb.2023,GÜNDÜZ,A0026,8.00,0.000,BAYAN PATİK,KOPEK PATİK
 13.Feb.2023,GECE,A0027,12.08,4.200,BAYAN SOKET,PUNALI SOKET
 10.Jan.2023,GÜNDÜZ,A0011,6.75,1.570,SNİCKERS,2023-2
 23.Jan.2023,GÜNDÜZ,A0034,10.00,0.000,ERKEK PATİK,CARERA PATİK
 12.Jan.2023,GECE,A0020,1.58,0.580,BAYAN SOKET,RIB ANKLE PURPLE
 05.Jan.2023,GÜNDÜZ,A0024,12.08,4.620,BAYAN SOKET,FLAMINGO SOKET
 26.Jan.2023,GÜNDÜZ,A0030,15.83,4.940,KISA KONÇ,KISAKONC
 22.Feb.2023,GÜNDÜZ,A0031,3.00,0.000,HAVLU DİZALTI,DERBILI HAVLU DİZALTI
 26.Jan.2023,GÜNDÜZ,A0010,4.33,1.300,KISA KONÇ,KISAKONC
 17.Feb.2023,GÜNDÜZ,A0008,3.33,1.780,SOKET TENİS,3P-TENİS HAVLU
 22.Jan.2023,GECE,A0024,18.58,4.300,SNİCKERS,2023-2
 09.Jan.2023,GECE,A0025,11.08,4.390,BAYAN SOKET,TEK ARI
 30.Jan.2023,GÜNDÜZ,A0033,8.67,1.580,BAYAN BAMBU BABET,2023-3
 20.Feb.2023,GECE,A0028,9.42,3.330,BAYAN SOKET,PUNALI SOKET
 06.Jan.2023,GÜNDÜZ,A0005,7.83,3.010,BAYAN SOKET,MAVI COKLU ARI
 27.Jan.2023,GÜNDÜZ,A0009,9.50,2.880,KISA KONÇ,KISAKONC
 03.Feb.2023,GECE,A0023,15.00,3.500,SNİCKERS,2023-2
 03.Feb.2023,GECE,A0005,11.67,6.890,SOKET TENİS,3P-TENİS HAVLU
 01.Feb.2023,GÜNDÜZ,A0027,2.75,0.850,KISA KONÇ,KISAKONC
 15.Jan.2023,GÜNDÜZ,A0034,25.00,0.000,ERKEK PATİK,CARERA PATİK
 20.Jan.2023,GECE,A0020,6.25,1.750,PATİK,CODE 3P.XX SHORT
 14.Feb.2023,GECE,A0030,11.67,4.400,BAYAN SOKET,KALPLI SOKET
 02.Feb.2023,GECE,A0030,15.42,4.860,KISA KONÇ,KISAKONC
 13.Jan.2023,GÜNDÜZ,A0004,7.67,1.890,SNİCKERS,2023-2
 12.Jan.2023,GÜNDÜZ,A0022,10.08,2.410,SNİCKERS,2023-2
 18.Jan.2023,GECE,A0032,19.00,6.130,PATİK,CODE 3P.XX SHORT
 17.Feb.2023,GECE,A0002,11.50,4.170,BAYAN SOKET,KALPLI SOKET
 03.Jan.2023,GÜNDÜZ,A0020,8.17,2.860,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 23.Jan.2023,GÜNDÜZ,A0003,15.67,4.280,PATİK,CODE 3P.XX SHORT
 05.Feb.2023,GECE,A0032,17.50,10.650,SOKET TENİS,3P-TENİS HAVLU
 29.Jan.2023,GECE,A0019,29.08,7.970,KISA KONÇ,KISAKONC
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 05.Jan.2023,GECE,A0007,11.92,4.800,BAYAN SOKET,DENIZ MAHSULLERİ
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 08.Feb.2023,GECE,A0021,0.17,4.370,BAYAN PATİK,KISAKONC SİM ÇEMBER
 12.Jan.2023,GÜNDÜZ,A0014,8.33,3.180,BAYAN SOKET,DALLI   PAPTYA
 04.Jan.2023,GECE,A0027,35.67,11.610,BAYAN SOKET,MANTAR DESEN
 16.Jan.2023,GECE,A0007,13.67,2.950,SNİCKERS,2023-2
 30.Jan.2023,GÜNDÜZ,A0008,11.58,2.380,SNİCKERS,2023-2
 31.Jan.2023,GECE,A0032,5.33,3.540,BAYAN ERKEK HAVLU,HAVLU TENIS
 24.Jan.2023,GÜNDÜZ,A0009,11.33,2.920,PATİK,CODE 3P.XX SHORT
 30.Jan.2023,GECE,A0002,4.00,1.340,BAYAN SOKET,ÇEMBERLI
 15.Feb.2023,GECE,A0008,21.75,3.600,BAYAN BAMBU BABET,2023-3
 21.Feb.2023,GÜNDÜZ,A0027,5.00,1.640,BAYAN SOKET,PUNALI SOKET
 06.Feb.2023,GECE,A0010,16.92,4.450,PATİK,CODE 3P.XX SHORT
 19.Jan.2023,GÜNDÜZ,A0015,10.75,3.410,PATİK,CODE 3P.XX SHORT
 07.Jan.2023,GECE,A0015,27.17,9.830,BAYAN SOKET,2023-1
 16.Feb.2023,GÜNDÜZ,A0022,30.75,8.480,BAYAN SOKET,CEMBERLI YILDIZLI PATİK
 08.Jan.2023,GÜNDÜZ,A0006,19.00,0.000,ERKEK PATİK,CARERA PATİK
 13.Jan.2023,GÜNDÜZ,A0033,5.00,2.020,BAYAN SOKET,DENIZ MAHSULLERİ
 22.Feb.2023,GECE,A0022,13.83,4.230,BAYAN PATİK,KAMUFLAJ PATIK
 02.Jan.2023,GÜNDÜZ,A0030,10.17,3.600,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 08.Jan.2023,GÜNDÜZ,A0020,18.75,6.520,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 02.Jan.2023,GECE,A0008,11.58,4.700,BAYAN SOKET,DENIZ MAHSULLERİ
 29.Jan.2023,GECE,A0023,24.50,5.920,SNİCKERS,2023-2
 22.Feb.2023,GECE,A0032,11.00,0.000,HAVLU DİZALTI,DERBILI HAVLU DİZALTI
 17.Feb.2023,GÜNDÜZ,A0001,0.08,0.001,BAYAN SOKET,KALPLI SOKET
 10.Jan.2023,GECE,A0008,8.67,3.630,BAYAN SOKET,DENIZ MAHSULLERİ
 08.Jan.2023,GÜNDÜZ,A0014,9.58,3.660,BAYAN SOKET,DALLI   PAPTYA
 24.Jan.2023,GÜNDÜZ,A0016,11.08,3.300,PATİK,CODE 3P.XX SHORT
 19.Jan.2023,GECE,A0020,10.92,3.900,BAYAN SOKET,RIB ANKLE PURPLE
 22.Feb.2023,GECE,A0018,17.00,0.000,BAYAN PATİK,SİM CEMBER PATİK
 12.Jan.2023,GECE,A0013,11.33,4.540,BAYAN SOKET,EKRU ÇOK ARI
 19.Jan.2023,GECE,A0005,15.75,4.990,PATİK,CODE 3P.XX SHORT
 06.Jan.2023,GECE,A0010,13.42,4.300,BAYAN SOKET,FOX  SAKES
 03.Jan.2023,GÜNDÜZ,A0014,8.33,3.250,BAYAN SOKET,DALLI   PAPTYA
 01.Feb.2023,GÜNDÜZ,A0004,8.75,3.070,KISA KONÇ,KISAKONC
 23.Jan.2023,GÜNDÜZ,A0012,22.08,9.000,BAYAN SOKET,BRETTY KARAKTER
 12.Feb.2023,GECE,A0001,18.17,6.500,BAYAN SOKET,KALPLI SOKET
 06.Feb.2023,GÜNDÜZ,A0001,10.08,3.040,KISA KONÇ,KISAKONC
 09.Jan.2023,GÜNDÜZ,A0004,8.58,3.290,BAYAN SOKET,TEK  PAPTYA
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 27.Jan.2023,GÜNDÜZ,A0029,9.75,2.970,KISA KONÇ,KISAKONC
 15.Jan.2023,GÜNDÜZ,A0006,24.00,0.000,ERKEK PATİK,CARERA PATİK
 09.Feb.2023,GECE,A0036,11.33,5.040,SOKET TENİS,SÜPERCITY TENIS
 29.Jan.2023,GECE,A0032,6.92,4.860,BAYAN ERKEK HAVLU,HAVLU TENIS
 22.Feb.2023,GECE,A0031,6.00,0.000,HAVLU DİZALTI,DERBILI HAVLU DİZALTI
 27.Jan.2023,GÜNDÜZ,A0024,8.50,1.500,BAYAN BAMBU BABET,2023-3
 17.Feb.2023,GECE,A0020,12.75,4.690,BAYAN SOKET,CEMBERLI SOKET
 02.Feb.2023,GECE,A0013,15.17,5.050,PATİK,CODE 3P.XX SHORT
 17.Jan.2023,GÜNDÜZ,A0030,8.25,2.090,PATİK,CODE 3P.XX SHORT
 30.Jan.2023,GÜNDÜZ,A0006,11.00,0.000,ERKEK PATİK,CARERA PATİK
 11.Jan.2023,GÜNDÜZ,A0027,7.25,2.290,BAYAN SOKET,MANTAR DESEN
 22.Feb.2023,GECE,A0021,16.08,3.210,BAYAN PATİK,BEKLETME DESEN
 02.Jan.2023,GÜNDÜZ,A0019,10.17,3.510,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 20.Feb.2023,GÜNDÜZ,A0031,10.00,0.000,HAVLU DİZALTI,DERBILI HAVLU DİZALTI
 25.Jan.2023,GÜNDÜZ,A0006,11.00,0.000,ERKEK PATİK,CARERA PATİK
 03.Feb.2023,GECE,A0035,16.75,5.130,PATİK,CODE 3P.XX SHORT
 06.Jan.2023,GECE,A0009,2.83,1.070,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 22.Feb.2023,GÜNDÜZ,A0027,8.75,2.870,BAYAN SOKET,PUNALI SOKET
 20.Jan.2023,GECE,A0035,16.17,4.900,PATİK,CODE 3P.XX SHORT
 12.Feb.2023,GECE,A0030,20.50,7.850,BAYAN SOKET,KALPLI SOKET
 13.Feb.2023,GECE,A0007,4.08,0.700,ÇETİK,CEMBERLI BABET
 09.Feb.2023,GECE,A0020,13.00,4.500,BAYAN SOKET,CEMBERLI SOKET
 23.Jan.2023,GÜNDÜZ,A0036,25.67,10.620,BAYAN SOKET,BRETTY KARAKTER
 02.Jan.2023,GÜNDÜZ,A0027,10.50,3.360,BAYAN SOKET,MANTAR DESEN
 23.Jan.2023,GECE,A0027,17.00,4.640,PATİK,CODE 3P.XX SHORT
 20.Jan.2023,GÜNDÜZ,A0031,5.92,1.040,BAYAN BAMBU BABET,2023-3
 19.Jan.2023,GECE,A0018,18.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 17.Feb.2023,GÜNDÜZ,A0007,11.67,1.950,BAYAN BAMBU BABET,2023-3
 02.Jan.2023,GECE,A0011,16.58,5.120,KISA KONÇ,BRK-2
 20.Feb.2023,GECE,A0028,2.33,0.750,BAYAN SOKET,PUNALI SOKET
 18.Jan.2023,GECE,A0033,13.33,2.410,BAYAN BAMBU BABET,2023-3
 01.Feb.2023,GECE,A0031,14.17,2.480,BAYAN BAMBU BABET,2023-3
 12.Jan.2023,GECE,A0023,17.58,6.210,BAYAN SOKET,2023-1
 10.Feb.2023,GECE,A0017,19.00,0.000,BAYAN KISAKONC,DERBILI CEMBERLİ
 15.Jan.2023,GÜNDÜZ,A0029,30.17,7.280,PATİK,CODE 3P.XX SHORT
 03.Feb.2023,GECE,A0029,9.08,3.080,BAYAN SOKET,WHITE HEEL TOE ANKLE
 27.Jan.2023,GECE,A0005,12.92,6.600,SOKET TENİS,3P-TENİS HAVLU
 15.Jan.2023,GÜNDÜZ,A0032,4.00,1.530,BAYAN SOKET,DALSIZ PAPTYA
 12.Jan.2023,GÜNDÜZ,A0033,7.67,3.090,BAYAN SOKET,DENIZ MAHSULLERİ
 11.Jan.2023,GÜNDÜZ,A0015,10.33,3.690,BAYAN SOKET,2023-1
 05.Feb.2023,GECE,A0025,25.75,9.270,KISA KONÇ,KISAKONC
 10.Feb.2023,GECE,A0008,22.25,3.930,ÇETİK,KAMUFLAJ  BABET
 09.Jan.2023,GÜNDÜZ,A0032,8.33,3.190,BAYAN SOKET,DALSIZ PAPTYA
 16.Jan.2023,GECE,A0010,6.33,1.540,PATİK,CODE 3P.XX SHORT
 12.Feb.2023,GECE,A0013,28.25,8.730,PATİK,CODE 3P.XX SHORT
 10.Jan.2023,GECE,A0017,16.00,0.000,BAYAN KISAKONC,TUBE CEMBERLI 
 05.Jan.2023,GECE,A0036,14.83,5.120,BAYAN SOKET,2023-1
 13.Feb.2023,GECE,A0012,15.67,4.840,PATİK,CODE 3P.XX SHORT
 02.Jan.2023,GÜNDÜZ,A0035,10.25,4.050,BAYAN SOKET,TEK ARI
 20.Feb.2023,GECE,A0025,10.00,0.000,BAYAN ERKEK KISAKONC HAVLU,TAM HAVLU KISA SOKET
 16.Jan.2023,GÜNDÜZ,A0036,10.25,3.290,BAYAN SOKET,2023-1
 17.Feb.2023,GÜNDÜZ,A0009,10.83,2.260,BAYAN PATİK,TEK NOKTA PATİK
 03.Jan.2023,GÜNDÜZ,A0019,8.25,2.820,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 02.Feb.2023,GECE,A0022,14.75,3.380,SNİCKERS,2023-2
 11.Jan.2023,GECE,A0011,13.42,3.170,SNİCKERS,2023-2
 21.Feb.2023,GECE,A0035,16.50,5.160,PATİK,CODE 3P.XX SHORT
 20.Feb.2023,GECE,A0019,18.17,3.750,BAYAN PATİK,CEMBERLI PATIK
 13.Feb.2023,GÜNDÜZ,A0008,10.83,1.900,ÇETİK,KAMUFLAJ  BABET
 08.Feb.2023,GÜNDÜZ,A0006,9.00,0.000,ERKEK PATİK,CARERA PATİK
 22.Feb.2023,GECE,A0015,15.75,5.000,PATİK,CODE 3P.XX SHORT
 27.Jan.2023,GÜNDÜZ,A0032,10.25,6.410,BAYAN ERKEK HAVLU,HAVLU TENIS
 10.Feb.2023,GECE,A0029,19.92,7.520,BAYAN SOKET,PUNALI SOKET
 16.Feb.2023,GECE,A0017,16.00,0.000,BAYAN KISAKONC,DERBILI CEMBERLİ
 17.Feb.2023,GECE,A0025,12.00,0.000,ERKEK PATİK,CARERA PATİK
 08.Feb.2023,GECE,A0012,15.08,5.200,KISA KONÇ,KISAKONC
 05.Jan.2023,GECE,A0030,0.17,4.480,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 01.Feb.2023,GÜNDÜZ,A0025,8.33,3.030,KISA KONÇ,KISAKONC
 14.Feb.2023,GÜNDÜZ,A0020,9.58,2.800,BAYAN SOKET,CEMBERLI SOKET
 24.Jan.2023,GECE,A0019,13.83,4.180,KISA KONÇ,KISAKONC
 08.Feb.2023,GÜNDÜZ,A0032,8.08,4.800,SOKET TENİS,3P-TENİS HAVLU
 23.Jan.2023,GÜNDÜZ,A0024,10.58,2.400,SNİCKERS,2023-2
 23.Jan.2023,GECE,A0025,15.67,4.930,PATİK,CODE 3P.XX SHORT
 02.Jan.2023,GECE,A0020,12.17,4.360,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 09.Feb.2023,GECE,A0030,11.92,4.490,BAYAN SOKET,KALPLI SOKET
 05.Jan.2023,GÜNDÜZ,A0010,9.00,2.940,BAYAN SOKET,FOX  SAKES
 15.Feb.2023,GECE,A0019,28.42,6.050,BAYAN PATİK,TEK NOKTA PATİK
 20.Jan.2023,GÜNDÜZ,A0015,9.17,2.850,PATİK,CODE 3P.XX SHORT
 22.Jan.2023,GECE,A0034,24.00,0.000,ERKEK PATİK,CARERA PATİK
 10.Jan.2023,GECE,A0001,12.17,4.470,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 17.Feb.2023,GÜNDÜZ,A0016,10.50,3.220,PATİK,CODE 3P.XX SHORT
 17.Jan.2023,GECE,A0019,5.08,1.740,BAYAN SOKET,RIB ANKLE PURPLE
 27.Jan.2023,GECE,A0001,5.58,1.710,KISA KONÇ,KISAKONC
 20.Jan.2023,GECE,A0033,12.33,2.220,BAYAN BAMBU BABET,2023-3
 02.Feb.2023,GÜNDÜZ,A0021,8.33,2.390,BAYAN PATİK,KISAKONC SİM ÇEMBER
 22.Feb.2023,GÜNDÜZ,A0028,8.75,2.900,BAYAN SOKET,PUNALI SOKET
 14.Feb.2023,GÜNDÜZ,A0004,10.00,0.000,ERKEK PATİK,CARERA PATİK
 06.Feb.2023,GECE,A0031,13.50,2.350,BAYAN BAMBU BABET,2023-3
 03.Feb.2023,GÜNDÜZ,A0019,9.75,2.130,BAYAN PATİK,BAYAN KONC SIMLI CEMBER
 14.Feb.2023,GECE,A0018,18.00,0.000,BAYAN PATİK,DERBILI NOKTALI
 12.Jan.2023,GECE,A0014,3.83,1.330,BAYAN SOKET,2023-1
 15.Feb.2023,GECE,A0011,23.25,4.060,ÇETİK,KALPLI   BABET
 11.Jan.2023,GECE,A0008,11.75,4.860,BAYAN SOKET,DENIZ MAHSULLERİ
 07.Feb.2023,GECE,A0030,16.17,4.410,PATİK,CODE 3P.XX SHORT
 21.Feb.2023,GECE,A0027,12.75,4.220,BAYAN SOKET,PUNALI SOKET
 17.Feb.2023,GECE,A0001,11.92,4.260,BAYAN SOKET,KALPLI SOKET
 24.Jan.2023,GECE,A0018,5.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 15.Feb.2023,GECE,A0012,27.58,8.350,PATİK,CODE 3P.XX SHORT
 29.Jan.2023,GECE,A0034,23.00,0.000,ERKEK PATİK,CARERA PATİK
 20.Jan.2023,GECE,A0034,3.00,0.000,ERKEK PATİK,CARERA PATİK
 24.Jan.2023,GECE,A0006,15.00,0.000,ERKEK PATİK,CARERA PATİK
 04.Jan.2023,GECE,A0010,36.33,11.850,BAYAN SOKET,FOX  SAKES
 02.Jan.2023,GECE,A0013,11.17,4.550,BAYAN SOKET,EKRU ÇOK ARI
 20.Feb.2023,GÜNDÜZ,A0017,12.00,0.000,BAYAN PATİK,KOPEK PATİK
 20.Jan.2023,GECE,A0016,15.17,4.720,PATİK,CODE 3P.XX SHORT
 11.Jan.2023,GECE,A0002,9.08,3.500,BAYAN SOKET,FLORAL ANKLE
 26.Jan.2023,GÜNDÜZ,A0024,9.50,1.670,BAYAN BAMBU BABET,2023-3
 24.Jan.2023,GECE,A0028,15.50,4.270,PATİK,CODE 3P.XX SHORT
 03.Feb.2023,GECE,A0031,14.00,2.500,BAYAN BAMBU BABET,2023-3
 31.Jan.2023,GECE,A0020,17.17,4.780,PATİK,CODE 3P.XX SHORT
 11.Jan.2023,GÜNDÜZ,A0009,6.25,2.300,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 16.Feb.2023,GECE,A0018,19.00,0.000,BAYAN PATİK,DERBILI NOKTALI
 16.Feb.2023,GECE,A0006,15.00,0.000,ERKEK PATİK,CARERA PATİK
 07.Feb.2023,GÜNDÜZ,A0030,13.58,3.680,PATİK,CODE 3P.XX SHORT
 10.Jan.2023,GECE,A0020,1.92,0.690,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
