Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad
 16.Feb.2023,GECE,A0007,13.25,2.220,BAYAN BAMBU BABET,2023-3
 07.Feb.2023,GECE,A0006,13.00,0.000,ERKEK PATİK,CARERA PATİK
 29.Jan.2023,GECE,A0036,16.00,8.980,SOKET TENİS,SÜPERCITY TENIS
 22.Feb.2023,GECE,A0033,12.00,0.000,HAVLU DİZALTI,DERBILI HAVLU DİZALTI
 02.Feb.2023,GÜNDÜZ,A0027,5.17,1.600,KISA KONÇ,KISAKONC
 06.Jan.2023,GECE,A0036,14.00,4.860,BAYAN SOKET,2023-1
 15.Jan.2023,GÜNDÜZ,A0031,17.17,3.020,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 10.Jan.2023,GECE,A0007,8.08,3.190,BAYAN SOKET,DENIZ MAHSULLERİ
 02.Feb.2023,GÜNDÜZ,A0016,10.00,3.500,KISA KONÇ,KISAKONC
 25.Jan.2023,GÜNDÜZ,A0032,2.25,1.510,BAYAN ERKEK HAVLU,HAVLU TENIS
 31.Jan.2023,GÜNDÜZ,A0028,10.92,3.420,KISA KONÇ,KISAKONC
 27.Jan.2023,GECE,A0021,16.50,5.010,KISA KONÇ,KISAKONC
 18.Jan.2023,GECE,A0009,17.33,4.230,PATİK,CODE 3P.XX SHORT
 30.Jan.2023,GECE,A0026,13.00,0.000,BAYAN PATİK,BAYAN KÜÇÜK NOKTA
 09.Jan.2023,GÜNDÜZ,A0025,8.00,3.130,BAYAN SOKET,TEK ARI
 30.Jan.2023,GÜNDÜZ,A0014,9.33,3.290,KISA KONÇ,KISAKONC
 30.Jan.2023,GÜNDÜZ,A0023,12.92,2.390,SNİCKERS,2023-2
 03.Feb.2023,GÜNDÜZ,A0018,6.00,0.000,BAYAN PATİK,KARE SIMLI PATİK
 01.Feb.2023,GÜNDÜZ,A0008,8.75,1.620,ÇETİK,KAMUFLAJ  BABET
 16.Feb.2023,GÜNDÜZ,A0003,5.75,1.530,PATİK,CODE 3P.XX SHORT
 08.Feb.2023,GECE,A0026,17.00,0.000,BAYAN PATİK,KARE SIMLI PATİK
 07.Feb.2023,GECE,A0035,14.08,4.830,KISA KONÇ,KISAKONC
 26.Jan.2023,GÜNDÜZ,A0002,8.00,2.730,BAYAN SOKET,ÇİÇEKLI
 08.Jan.2023,GÜNDÜZ,A0016,28.17,9.110,KISA KONÇ,BRK-2
 08.Jan.2023,GÜNDÜZ,A0004,5.50,2.150,BAYAN SOKET,TEK  PAPTYA
 30.Jan.2023,GÜNDÜZ,A0013,11.42,3.880,PATİK,CODE 3P.XX SHORT
 22.Feb.2023,GÜNDÜZ,A0023,4.58,1.170,BAYAN PATİK,KAMUFLAJ PATIK
 22.Feb.2023,GÜNDÜZ,A0006,10.00,0.000,BAYAN ERKEK KISAKONC HAVLU,TAM HAVLU KISA SOKET
 12.Jan.2023,GECE,A0002,11.83,4.530,BAYAN SOKET,FLORAL ANKLE
 19.Jan.2023,GÜNDÜZ,A0017,12.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 13.Feb.2023,GÜNDÜZ,A0031,9.67,1.670,ÇETİK,BUYUK  YILDIZ BABET
 12.Jan.2023,GECE,A0003,11.67,4.120,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 09.Jan.2023,GÜNDÜZ,A0031,9.25,1.730,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 09.Feb.2023,GECE,A0022,15.00,3.180,SNİCKERS,2023-2
 26.Jan.2023,GÜNDÜZ,A0005,22.08,11.190,SOKET TENİS,3P-TENİS HAVLU
 30.Jan.2023,GECE,A0035,17.00,5.180,PATİK,CODE 3P.XX SHORT
 31.Jan.2023,GECE,A0027,15.50,4.830,KISA KONÇ,KISAKONC
 13.Jan.2023,GÜNDÜZ,A0035,7.00,2.730,BAYAN SOKET,TEK ARI
 16.Jan.2023,GÜNDÜZ,A0001,7.42,2.710,BAYAN SOKET,DALGA DESEN
 13.Jan.2023,GECE,A0006,6.00,0.000,ERKEK PATİK,CARERA PATİK
 10.Feb.2023,GECE,A0020,16.25,6.000,BAYAN SOKET,CEMBERLI SOKET
